Sample	Coalescent Time	First Ascertained	First Unascertained
1143	17.044497	24.226510	7.331755
2426	0.000000	3.205430	4.057340
1845	8.000000	16.938555	5.564425
0891	24.457188	12.289185	5.150880
2933	9.038976	11.711025	15.469795
4236	0.000000	11.294195	3.212000
1349	13.911256	2.364105	7.635800
0484	3.285793	14.650005	3.514950
3456	19.401594	16.491795	5.719550
3361	53.385332	25.749655	9.407145
3333	7.634024	15.918380	15.139835
1006	13.551738	17.063385	6.842290
4465	3.433727	13.236360	3.488670
3965	19.500000	11.754095	6.147330
0156	0.000000	2.978035	9.427585
0357	5.104664	16.116940	8.178920
4520	20.540249	21.294830	17.217415
0924	14.565535	12.274950	8.563995
4151	5.000000	9.764480	5.431200
3806	14.616254	15.240940	15.333650
0987	6.000000	9.745865	2.957230
3953	0.000000	6.927335	2.830210
1336	6.377704	15.544255	2.814880
0943	22.000000	27.616630	7.819395
2285	21.313729	18.980000	11.041250
1190	31.500000	11.045265	2.703920
3000	3.656077	14.666065	2.971830
2815	14.765716	17.332390	5.847300
4085	17.526140	14.722640	6.414875
0658	6.124321	12.592865	2.987160
1459	9.722648	30.022345	19.114685
2377	3.575272	25.458020	3.633940
2207	6.447197	18.284675	4.424165
2872	19.000000	19.425665	2.054220
2505	2.000000	9.419190	0.578160
2122	13.731525	18.674130	5.404190
0633	0.000000	15.691715	9.672135
1370	19.872681	33.638400	10.476960
2696	4.145788	15.414680	1.060690
2487	4.418950	3.375155	11.035045
0002	24.825294	10.270370	6.941570
4011	8.025452	8.490630	12.552350
4279	29.028163	9.936030	3.440855
0442	6.436116	15.243495	9.949900
0223	12.152041	21.198105	5.210740
3533	53.116489	8.413615	9.188510
0714	2.682775	8.939945	3.920465
2412	15.045872	20.394740	11.682555
3552	31.990276	37.292050	10.572225
2736	17.445579	16.829785	4.330725
3239	12.000000	19.071250	8.842125
0035	4.000000	11.664305	3.090820
1438	26.172147	13.545515	4.366130
2534	13.514743	21.288260	10.464185
4399	2.218608	3.198495	6.245880
3124	0.000000	10.675885	14.311285
4223	6.000000	12.219835	3.323325
3596	49.913599	11.142720	9.081200
0578	2.950675	8.772045	4.635135
1391	10.126309	13.870730	3.705845
1897	9.714980	23.606010	2.345855
2672	12.500000	17.313775	5.996950
2725	5.495275	5.758970	8.866215
0775	21.745505	31.576515	10.559815
1297	7.958773	17.490435	7.659890
4243	12.183236	12.074930	6.882805
0313	0.000000	5.110730	3.693435
0912	12.723437	14.517145	7.618280
3002	2.885372	6.632780	6.539340
0297	8.500000	16.934905	6.326180
2578	11.908375	19.927540	1.977205
2689	12.112146	20.643305	1.198660
2348	3.509642	17.722940	8.269805
3817	15.087510	31.542935	11.339455
0661	2.137522	5.027510	3.616055
3347	2.741799	10.527695	3.159440
2342	13.463522	21.317825	3.072935
4116	4.521336	1.043535	4.066465
1479	2.570379	8.480775	8.030365
4878	20.737903	26.017200	7.212400
0519	9.117612	36.531025	2.381260
1322	1.393607	11.901555	4.292765
3836	22.944429	9.600960	16.688895
0827	4.636531	13.442220	9.642935
3629	14.500000	19.914035	4.986995
1145	0.000000	9.569935	4.646085
2537	11.055423	28.536065	10.453600
0082	5.384994	16.850955	8.889210
4712	4.270257	7.745665	7.745300
0129	0.000000	9.805360	2.730200
4396	1.717376	6.742645	2.631285
3109	2.941617	6.591535	3.782495
2762	1.633440	13.590410	2.326145
1875	24.540069	11.597875	5.570995
0983	0.327470	7.903345	4.468695
3753	10.000000	25.774475	7.112390
4450	2.269532	11.133595	8.067595
0099	10.787263	16.794745	3.727380
2817	13.942296	15.995030	2.006405
2120	7.107065	2.985700	10.984310
3842	0.000000	9.432330	4.190200
2103	2.205014	16.056350	4.197500
0721	34.015013	19.055920	2.127585
0972	15.048318	17.438970	9.767035
2508	6.158374	17.214130	17.352830
4204	24.778749	24.765250	2.852110
1939	24.500000	9.091785	5.357470
1081	10.560045	6.575840	4.447890
3310	0.000000	10.718590	1.054120
4050	8.469713	26.050415	2.832035
1538	26.798287	38.392160	13.656110
2592	0.000000	6.394435	4.118660
2457	19.868497	14.454000	5.040650
2521	0.000000	8.647945	11.923820
4916	7.869278	14.906965	5.457480
0728	14.521502	24.813065	9.355315
0425	0.000000	3.280255	1.694330
0235	15.474291	18.152910	15.107350
0412	3.067381	15.943930	3.871190
0273	14.716358	2.328700	8.496835
4038	16.986607	4.883700	10.575875
3517	7.875855	15.655215	5.528655
4865	1.593272	5.934535	9.213695
